Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance ,luminosity,Lum in solar units (J/s)
3386.07838,8.03E-14,0.0101932,4.48E+13,2.53E+28,6.60E+01
3385.737125,6.35E-14,0.00962146,5.67E+13,4.03E+28,1.05E+02
3385.728328,9.18E-14,0.0120635,3.92E+13,1.93E+28,5.05E+01
3385.724875,6.89E-14,0.00950169,5.22E+13,3.43E+28,8.96E+01
3385.712182,8.64E-14,0.0115912,4.17E+13,2.18E+28,5.70E+01
3385.484062,9.25E-14,0.0107673,3.89E+13,1.90E+28,4.98E+01
3385.03837,7.04E-14,0.00960344,5.11E+13,3.28E+28,8.58E+01
3384.50458,6.62E-14,0.0100957,5.44E+13,3.72E+28,9.72E+01
3384.312774,7.11E-14,0.00825583,5.06E+13,3.22E+28,8.42E+01
3384.230617,6.93E-14,0.00945615,5.19E+13,3.39E+28,8.86E+01
3384.218248,5.77E-14,0.0101917,6.24E+13,4.90E+28,1.28E+02
3384.10393,7.49E-14,0.00872022,4.81E+13,2.90E+28,7.58E+01
3383.861568,8.11E-14,0.0119033,4.44E+13,2.47E+28,6.46E+01
3383.848597,7.69E-14,0.010257,4.68E+13,2.76E+28,7.20E+01
3383.74315,7.63E-14,0.00841432,4.72E+13,2.80E+28,7.31E+01
3383.630497,6.16E-14,0.00997206,5.84E+13,4.28E+28,1.12E+02
3383.339808,6.61E-14,0.00922057,5.45E+13,3.73E+28,9.74E+01
3383.325638,7.50E-14,0.0104796,4.80E+13,2.90E+28,7.57E+01
3383.076518,7.45E-14,0.0104004,4.83E+13,2.93E+28,7.66E+01
3382.880044,6.65E-14,0.00857094,5.41E+13,3.69E+28,9.64E+01
3382.457295,9.24E-14,0.0102276,3.90E+13,1.91E+28,4.98E+01
3382.456112,5.48E-14,0.0103774,6.57E+13,5.42E+28,1.42E+02
3382.45603,6.52E-14,0.0100216,5.52E+13,3.83E+28,1.00E+02
3382.45543,7.16E-14,0.00938019,5.03E+13,3.18E+28,8.31E+01
3382.451198,8.45E-14,0.0114318,4.26E+13,2.28E+28,5.96E+01
3382.037416,6.24E-14,0.00934031,5.77E+13,4.18E+28,1.09E+02
3382.018514,6.54E-14,0.0100034,5.50E+13,3.81E+28,9.96E+01
3381.921537,5.23E-14,0.00829265,6.88E+13,5.95E+28,1.56E+02
3381.881727,6.31E-14,0.00944929,5.71E+13,4.09E+28,1.07E+02
3381.800243,6.72E-14,0.0091984,5.36E+13,3.61E+28,9.43E+01
3381.572364,6.43E-14,0.00899901,5.60E+13,3.94E+28,1.03E+02
3381.353941,5.86E-14,0.00975379,6.14E+13,4.75E+28,1.24E+02
3381.254395,5.95E-14,0.00949596,6.05E+13,4.60E+28,1.20E+02
3381.243444,7.48E-14,0.0123261,4.81E+13,2.91E+28,7.62E+01
3381.237027,7.24E-14,0.0111779,4.97E+13,3.11E+28,8.13E+01
3381.181681,1.02E-13,0.0127625,3.53E+13,1.56E+28,4.08E+01
3381.100392,7.68E-14,0.00994004,4.69E+13,2.76E+28,7.21E+01
3381.021001,7.18E-14,0.00917983,5.01E+13,3.16E+28,8.26E+01
3381.019985,6.02E-14,0.00978655,5.98E+13,4.49E+28,1.17E+02
3381.01176,9.11E-14,0.0105812,3.95E+13,1.96E+28,5.13E+01
3381.009265,5.47E-14,0.0100165,6.58E+13,5.44E+28,1.42E+02
3380.939513,8.08E-14,0.00961475,4.46E+13,2.50E+28,6.53E+01
3380.891661,5.84E-14,0.00850973,6.16E+13,4.78E+28,1.25E+02
3380.747121,5.66E-14,0.00765201,6.36E+13,5.08E+28,1.33E+02
3380.727376,6.38E-14,0.0105109,5.64E+13,4.00E+28,1.05E+02
3380.671964,6.66E-14,0.00717039,5.41E+13,3.67E+28,9.59E+01
3380.650523,7.75E-14,0.0110214,4.65E+13,2.71E+28,7.09E+01
3380.632059,8.64E-14,0.0102607,4.17E+13,2.18E+28,5.71E+01
3380.620023,7.78E-14,0.011202,4.63E+13,2.69E+28,7.02E+01
3380.601352,7.74E-14,0.0103531,4.65E+13,2.72E+28,7.10E+01
3380.511286,7.62E-14,0.0111524,4.72E+13,2.81E+28,7.34E+01
3380.348695,6.29E-14,0.0102372,5.72E+13,4.11E+28,1.08E+02
3380.336593,7.15E-14,0.0118803,5.03E+13,3.19E+28,8.33E+01
3380.32969,6.77E-14,0.00910607,5.32E+13,3.56E+28,9.30E+01
3380.305448,5.88E-14,0.00983024,6.12E+13,4.71E+28,1.23E+02
3380.304705,6.16E-14,0.011108,5.84E+13,4.30E+28,1.12E+02
3380.163755,5.77E-14,0.00925469,6.24E+13,4.89E+28,1.28E+02
3380.122396,8.37E-14,0.0112762,4.30E+13,2.33E+28,6.08E+01
3380.072809,7.67E-14,0.0101027,4.69E+13,2.77E+28,7.24E+01
3380.068176,7.47E-14,0.00986885,4.82E+13,2.92E+28,7.64E+01
3380.045736,8.03E-14,0.0112758,4.48E+13,2.52E+28,6.60E+01
3379.913312,8.26E-14,0.0110836,4.36E+13,2.39E+28,6.24E+01
3379.889411,7.86E-14,0.0094506,4.58E+13,2.63E+28,6.88E+01
3379.76357,6.92E-14,0.0107726,5.20E+13,3.41E+28,8.90E+01
3379.760895,6.98E-14,0.00969432,5.16E+13,3.34E+28,8.72E+01
3379.759524,7.48E-14,0.0105679,4.81E+13,2.91E+28,7.60E+01
3377.856183,3.99E-14,0.010951,9.02E+13,1.02E+29,2.67E+02
3377.38166,2.94E-14,0.0100138,1.22E+14,1.88E+29,4.91E+02
3377.259156,3.27E-14,0.00879652,1.10E+14,1.52E+29,3.98E+02
3376.98655,2.83E-14,0.0116882,1.27E+14,2.03E+29,5.31E+02
3364.948067,4.44E-14,0.010171,8.11E+13,8.25E+28,2.16E+02
3364.821396,3.84E-14,0.00944214,9.38E+13,1.11E+29,2.89E+02
3360.626506,4.46E-15,0.00745176,8.07E+14,8.17E+30,2.14E+04
3357.555733,5.44E-14,0.0103653,6.62E+13,5.50E+28,1.44E+02
3355.790482,4.52E-14,0.00946395,7.96E+13,7.96E+28,2.08E+02
3355.470155,4.82E-14,0.00739021,7.47E+13,7.00E+28,1.83E+02
3355.155635,4.02E-14,0.00867624,8.96E+13,1.01E+29,2.64E+02
3354.774308,4.94E-14,0.00976368,7.29E+13,6.67E+28,1.74E+02
3354.173792,5.02E-14,0.00925863,7.17E+13,6.45E+28,1.69E+02
3353.910964,4.65E-14,0.010073,7.74E+13,7.53E+28,1.97E+02
3353.82559,5.12E-14,0.00959421,7.03E+13,6.21E+28,1.62E+02
3353.4015,4.77E-14,0.0089974,7.55E+13,7.17E+28,1.87E+02
3353.20161,4.78E-14,0.0113427,7.53E+13,7.13E+28,1.86E+02
3352.976043,5.30E-14,0.00866491,6.79E+13,5.81E+28,1.52E+02
3352.930776,6.00E-14,0.00919257,6.00E+13,4.52E+28,1.18E+02
3352.768874,5.41E-14,0.0103168,6.65E+13,5.56E+28,1.45E+02
3352.612753,4.83E-14,0.0115724,7.45E+13,6.97E+28,1.82E+02
3352.178641,4.88E-14,0.0116214,7.38E+13,6.85E+28,1.79E+02
3351.9479,5.26E-14,0.0112959,6.84E+13,5.88E+28,1.54E+02
3351.939867,5.36E-14,0.00975521,6.72E+13,5.68E+28,1.48E+02
3351.851661,4.61E-14,0.0086043,7.81E+13,7.67E+28,2.00E+02
3351.657202,5.85E-14,0.010343,6.15E+13,4.76E+28,1.24E+02
3351.569536,5.47E-14,0.0123804,6.58E+13,5.43E+28,1.42E+02
3349.574632,5.68E-14,0.00956373,6.34E+13,5.04E+28,1.32E+02
3347.768456,7.76E-14,0.00984449,4.64E+13,2.70E+28,7.06E+01
3347.467365,7.14E-14,0.0111608,5.04E+13,3.19E+28,8.35E+01
3347.454753,6.92E-14,0.00919967,5.20E+13,3.40E+28,8.89E+01
3347.305762,7.44E-14,0.00938189,4.84E+13,2.95E+28,7.70E+01
3346.308268,6.67E-14,0.0096831,5.40E+13,3.66E+28,9.57E+01
3346.15536,4.40E-14,0.00772876,8.18E+13,8.42E+28,2.20E+02
3345.675958,8.61E-14,0.0122931,4.18E+13,2.20E+28,5.74E+01
3345.401987,7.69E-14,0.00940468,4.68E+13,2.76E+28,7.21E+01
3345.378668,7.36E-14,0.0108795,4.89E+13,3.01E+28,7.87E+01
3344.275535,7.07E-14,0.0110574,5.09E+13,3.26E+28,8.52E+01
3344.245429,6.68E-14,0.011187,5.39E+13,3.65E+28,9.55E+01
3344.032458,8.99E-14,0.01039,4.00E+13,2.02E+28,5.27E+01
3343.612098,7.46E-14,0.00991559,4.83E+13,2.93E+28,7.66E+01
3343.347928,7.12E-14,0.011173,5.06E+13,3.22E+28,8.41E+01
3343.334378,2.94E-14,0.0112574,1.22E+14,1.88E+29,4.91E+02
3342.722435,6.22E-14,0.00965544,5.79E+13,4.20E+28,1.10E+02
3342.576244,7.95E-14,0.012719,4.53E+13,2.57E+28,6.73E+01
3342.537814,6.49E-14,0.0104244,5.55E+13,3.87E+28,1.01E+02
3342.173698,7.69E-14,0.0113354,4.68E+13,2.76E+28,7.20E+01
3341.957798,6.42E-14,0.0104642,5.61E+13,3.95E+28,1.03E+02
3341.878479,7.18E-14,0.010878,5.01E+13,3.16E+28,8.26E+01
3341.82861,6.87E-14,0.00851994,5.24E+13,3.45E+28,9.01E+01
3341.825508,6.31E-14,0.00856778,5.71E+13,4.09E+28,1.07E+02
3341.737925,7.06E-14,0.0107348,5.10E+13,3.27E+28,8.54E+01
3341.726082,6.50E-14,0.00969645,5.54E+13,3.85E+28,1.01E+02
3341.684941,7.18E-14,0.0119019,5.01E+13,3.16E+28,8.25E+01
3341.587466,7.15E-14,0.0116737,5.03E+13,3.18E+28,8.32E+01
3341.557247,5.33E-14,0.008647,6.75E+13,5.73E+28,1.50E+02
3341.406521,6.37E-14,0.00980963,5.65E+13,4.01E+28,1.05E+02
3341.195036,7.77E-14,0.00899378,4.63E+13,2.70E+28,7.04E+01
3341.1912,6.41E-14,0.00953638,5.62E+13,3.96E+28,1.04E+02
3341.127839,8.29E-14,0.00956326,4.34E+13,2.37E+28,6.19E+01
3341.095958,6.85E-14,0.0102548,5.26E+13,3.47E+28,9.08E+01
3341.054338,7.68E-14,0.0102796,4.69E+13,2.76E+28,7.22E+01
3341.006949,6.19E-14,0.00892274,5.82E+13,4.25E+28,1.11E+02
3340.986314,6.52E-14,0.0107969,5.52E+13,3.83E+28,1.00E+02
3340.944635,5.64E-14,0.010176,6.38E+13,5.11E+28,1.34E+02
3340.941247,7.27E-14,0.0107192,4.95E+13,3.08E+28,8.05E+01
3340.925524,5.72E-14,0.010377,6.29E+13,4.97E+28,1.30E+02
3340.92371,7.99E-14,0.0121118,4.51E+13,2.55E+28,6.67E+01
3340.889014,6.85E-14,0.00994854,5.26E+13,3.47E+28,9.07E+01
3340.805044,6.74E-14,0.00934524,5.34E+13,3.59E+28,9.37E+01
3340.639793,2.52E-14,0.00978485,1.43E+14,2.57E+29,6.72E+02
3340.218146,3.00E-14,0.00982897,1.20E+14,1.81E+29,4.74E+02
3340.01316,2.95E-14,0.010764,1.22E+14,1.88E+29,4.90E+02
3327.141179,2.49E-14,0.00977524,1.45E+14,2.63E+29,6.88E+02
3326.960682,2.75E-14,0.0122745,1.31E+14,2.15E+29,5.61E+02
3326.545795,2.48E-14,0.0116643,1.45E+14,2.64E+29,6.89E+02
3326.221736,2.70E-14,0.0112199,1.33E+14,2.24E+29,5.86E+02
3324.345195,2.79E-14,0.0122771,1.29E+14,2.10E+29,5.48E+02
3324.306564,2.64E-14,0.00953628,1.36E+14,2.33E+29,6.09E+02
3324.022279,2.41E-14,0.0100687,1.49E+14,2.80E+29,7.32E+02
3323.658362,2.29E-14,0.00983834,1.57E+14,3.12E+29,8.15E+02
3323.610035,2.58E-14,0.0118835,1.40E+14,2.46E+29,6.42E+02
3322.708403,2.49E-14,0.0119287,1.45E+14,2.63E+29,6.88E+02
3322.423196,2.41E-14,0.0113321,1.49E+14,2.81E+29,7.35E+02
